ITEM,EXPORTING COUNTRY,NAME OF MANUFACTURERS,SHIPPER,ARTICLE,CONTENTS OF VIOLATION,QUARANTIN STATION,NAME OF IMPORTERS,CAUSE OF VIOLATION,DISPOSAL OF THE CARGO,REMARKS,Publication day
Peanuts,China,,"JUNAN SIHAI PEANUT FOODSTUFF CO.,LTD.",Art.6(ⅱ),aflatoxin (mycotoxin)　17 μg/kg　（B1:15.8   B2:1.2 ) detected,yokohama,"KAIZUKA CO.,LTD",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-12-25
HONEY ROAST PEANUTS,U.S.A.,KRAFT HEINZ FOODS COMPANY,,Art.6(ⅱ),aflatoxin (mycotoxin)　73 μg/kg　（B1:69.1   B2:4.3 ) detected,tokyo,HEINZ JAPAN LTD.,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-12-25
onion,China,,LAIZHOU CHENGGUO SHENGFENG AGRICULTURAL PROFESSIONAL COOPERATIVES,Art.13(2),violation of compositional standard (thiamethoxam 0.03 ppm detection),kobe,"WORLD FRUITS CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-12-25
GLUTINOUS MILLET,Vietnam,,"THANH PHONG COMMERCIAL CO.,LTD.",Art.13(2),violation of compositional standard (bromide 61 ppm detection),fukuoka,KANEMATSU CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2020-12-28
Health food:Propolis,Australia,LIFETIME HEALTH PRODUCTS PTY. LTD.,,Art.12,undesignated additive (TBHQ 0.001 g/kg detection),kansai airport,"GOOD&NATURAL CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-28
Frozen food served after heating(other than those heated immediately before freezing）:FROZEN BROCCOLI,China,"RIZHAO NEW YUMMY FOODS CO.,LTD",,Art.13(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 13 of the Food Sanitation Act (procymidone 0.03 ppm detection)",tokyo,FAITH CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-12-28
Milled rice,Thailand,,"THAI HUA(2511)CO.,LTD.",Art.6(ⅰ),"generation of mold, deterioration and nasty smell",fukuoka,KANEMATSU CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2020-12-28
Frozen food served after heating(other than those heated immediately before freezing）:FROZEN PTO BREADED VANNAMEI SHRIMP(EBI-FRY),Vietnam,CANTHO IMPORT EXPORT FISHERY LIMITED COMPANY(CAFISH VIETNAM),,Art.13(2),violation of compositional standard（live bacteria count  6.1×10⁶ /g）,tokyo,TOKUSUI CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-28
Health food:GRON CBD UNFAVORED WATER SOLUBLE ELIXIR,U.S.A.,GRON CONFECTIONS LLC,,Art.13(2),violation of standard of use (use of potassium sorbate in other than target food),narita airport,"COSMETECHS CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-28
Frozen food served without heating:FROZEN SPICY MARINATED CRAB,Korea,YOUNGIN BIO,,Art.13(2),violation of compositional standard (coliform bacteria positive ),shimonoseki,"HAPPY SHOKUHIN CO.,LTD",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-28
SALTED OYSTERS,Korea,"NARAE TRADITION FOOD CO.,LTD.",,Art.13(2),violation of standard of use (use of polysorbate80 1.65 g/kg),narita airport,"EISAN CO.,LTD",,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2021-01-05
SEASONED-FERMENTED HAIRTAIL,Korea,"NARAE TRADITION FOOD CO.,LTD.",,Art.13(2),violation of standard of use (use of polysorbate80 1.1 g/kg),narita airport,"EISAN CO.,LTD",,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2021-01-05
POPCORN,U.S.A.,0,"GREAT WESTERN,LLC",Art.11(2),violation of compositional standard (deltamethrin and tralomethrin 0.39 ppm detection),yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-12-04
Corn,U.S.A.,0,ITOCHU INTERNATIONAL INC.,Art.6(ⅰ),"generation of mold, deterioration, decay and nasty smell",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-12-04
Corn,U.S.A.,0,ITOCHU INTERNATIONAL INC.,Art.6(ⅰ),"generation of mold, deterioration, decay and nasty smell",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-12-04
Corn,U.S.A.,0,"COLUMBIA GRAIN INTERNATIONAL, LLC.",Art.6(ⅰ),"generation of mold, deterioration, decay and nasty smell",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-12-04
Corn,U.S.A.,0,"COLUMBIA GRAIN INTERNATIONAL, LLC.",Art.6(ⅰ),"generation of mold, deterioration, decay and nasty smell",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-12-04
Frozen food served without heating:BOILED FROZEN ABALONE,Korea,"CHUNGSANBADA CO.,LTD",0,Art.11(2),violation of standard of use (use of sodium benzoate in other than target food),moji,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-12-04
DRIED FIGS NATURAL,Turkey ,ANATOLIA TARIM URUNLERI SANAYI VE DIS.TIC.A.S.,0,Art.6(ⅱ),aflatoxin (mycotoxin)　 61 μg/kg　（B1: 55.3 B2: 2.7 G1:3.0 ) detected,osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2019-12-04
PLANTERS SALTED PEANUTS TUBE,U.S.A.,KRAFT HEINZ FOODS COMPANY,0,Art.6(ⅱ),aflatoxin (mycotoxin)　50 μg/kg　（B1: 39.4 B2: 10.3 ) detected,tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2019-12-25
Other alcoholic beverages: RADLER NATUR,Germany ,ALPIRSBACHER KLOSTERBRAEU GLAUNER GMBH & CO.KG,0,Art.10,undesignated additive (cyclamic acid 103 μg/g detection),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2019-12-25
Frozen fresh fish and shellfish for raw consumption：FROZEN BOILED SEA URCHIN MEAT,China,"DALIAN ZHOUSHI AQUATIC PRODUCTS FOOD CO.,LTD",0,Art.11(2),violation of compositional standard（live bacteria count  6.1×10⁵ /g）,otaru,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-12-25
Swallow Sweetened Condensed Milk,Taiwan ,"SHEN FA XING FOOD CO.,LTD.",0,Art.11(2),violation of standard of use (use of sodium stearoyl lactylate in other than target food),osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-12-25
BRAZILIAN RUNNER PEANUTS,Brazil,0,SHIROSAWA CO.SAIC,Art.6(ⅱ),aflatoxin (mycotoxin)　 30 μg/kg　（B1: 25.8 B2: 4.3 ) detected,fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2019-12-25
Almond,U.S.A.,0,"SHOEI FOODS(U.S.A.), INC.",Art.6(ⅱ),aflatoxin (mycotoxin)　 29 μg/kg　（B1: 28.5 ) detected,tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2019-12-25
Syrup:GREEN TEA,Italy,CAFFE PASCUCCI TORREFAZIONE S.P.A.,0,Art.10,undesignated additive (acid blue 3 detection) ,tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-12-25
CHINESE STICKY SORGHUM,China,0,"FRESH GOOD DUAL (TIANJIN) INTERNATIONAL TRADE CO.,LTD.",Art.6(ⅱ),"aflatoxin (mycotoxin) 12 μg/kg　（B1: 12.2 ))(monitoring inspection), ① 14 μg/kg, ②18 μg/kg　（①B1: 13.9, ②B1: 17.3, B2: 1.1 ) (ordered inspection) detected",shimizu,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection  monitoring inspection,2019-12-25
Wheat,U.S.A.,0,CHS INC,Art.6(ⅰ),"generation of mold, deterioration, solidification and nasty smell",fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-12-25
Frozen food served after heating(other than those heated immediately before freezing）:FROZEN RED PEPPER SLICED,China,"WULIAN HAIFENG FOOD CO.,LTD.",0,Art.11(2),violation of compositional standard（live bacteria count  7.8×10⁷ /g）,fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-12-25
Frozen food served after heating(other than those heated immediately before freezing）:CONICAL (SAMOSA SHRIMP CONE SHAPE 20G)),Vietnam,GN FOODS JOINT STOCK CO.,0,Art.11(2),violation of standard of use (use of sodium benzoate in other than target food),osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-12-25
Frozen food served without heating:FROZEN SMOKED SALMON,Spain,"COPESCO & SEFRISA,S.A.",0,Art.11(2),violation of compositional standard（live bacteria count  2.0×10⁵ /g）,kobe 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-12-25
Frozen food served after heating(those heated immediately before freezing):FROZEN BEAN CURD,China,"HEZE DOUDOU FOOD CO.,LTD.",0,Art.11(2),violation of compositional standard（live bacteria count  3.8×10⁶ /g）,osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-12-25
FROZEN RED HOT CHILLI,Vietnam,0,"2H NEW INTERNATIONAL LOGISTICS CO.,LTD.",Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act (propiconazole 0.16 ppm detection)",kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-12-25
Wheat,Australia,0,EMERALD GRAIN AUSTRALIA PTY LTD,Art.6(ⅰ),"generation of mold, deterioration, solidification and nasty smell",chiba,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-12-25
Health food:GREEN PROTEIN,France,LABORATOIRES INELDEA,0,Art.11(2),violation of standard of use (use of acesulfame potassium 0.5 g/kg),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-12-25
Frozen food served after heating(other than those heated immediately before freezing）:HAMUPOTETO FURAI(PORK),China,"RONGCHENG RONGDONG FOODSTUFF CO.,LTD.",0,Art.11(2),violation of compositional standard (E.coli positive),osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-12-25
Frozen boiled crab: FROZEN COOKED SNOW CRAB MEAT,Vietnam,CJ CAU TRE FOODS JOINT STOCK COMPANY(CJ CTE JSCO),0,Art.11(2),violation of compositional standard (coliform bacteria positive ),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2019-12-25
Frozen food served without heating:FROZEN NT GRAPES ,Canada,NATURE'S TOUCH FROZEN FOODS(WEST)INC.,0,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act (profenofos 0.24 ppm detection)",nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-12-25
Wheat,U.S.A.,0,CHS INC,Art.6(ⅰ),"generation of mold, deterioration, solidification and nasty smell",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-12-25
Wheat,U.S.A.,0,CHS INC,Art.6(ⅰ),"generation of mold, deterioration, solidification and nasty smell",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-12-25
RED PEPPER POWDER,China,"QINGDAO SENYUAN FOODS CO.,LTD",0,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act (triazophos 0.02 ppm detection)",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2019-12-25
Frozen food served without heating:FROZEN NT GRAPES ,Canada,NATURE'S TOUCH FROZEN FOODS (WEST) INC.,0,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act (profenofos 0.08 ppm detection)",nagoya,,,"we directed abandonment or return of the cargo（the part of quantity has been sold, the rest is kept）",administration inspection,2019-12-25
Burdock,China,0,"LIANYUNGANG SHENGFU INTERNATIONAL TRADE CO.,LTD.",Art.11(2),violation of compositional standard (chlorpyrifos 0.05 ppm detection),kobe,,,"we directed abandonment or return of the cargo（the part of quantity has been sold, the rest is kept）",monitoring inspection,2019-12-25
PINEAPPLE FLAVOR SYRUP WITH PULP,Taiwan ,"HI DUO BIO-TECH BUSINESS CO.,LTD.",0,Art.11(2),violation of standard of use (use of acesulfame potassium 0.46 g/kg),yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-12-25
Syrup:BROWN SUGAR FLAVOR SYRUP,Taiwan ,"HI DUO BIO-TECH BUSINESS CO.,LTD.",0,Art.11(2),violation of standard of use (use of acesulfame potassium 1.4 g/kg),yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-12-25
FRIED PEANUTS,China,"RONGCHENG SUBSIDIARY FOOD CO.,LTD.",0,Art.6(ⅱ),aflatoxin (mycotoxin)　 15 μg/kg　（B1: 13.4 B2:1.5 ) detected,nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2019-12-25
FENNEL LUCKNOWI  (RAJ BRAND),India,AMBIKA GLOBAL FOODS AND BEVERAGES PRIVATE LIMITED,0,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act (triazophos 0.08 ppm detection)",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-12-25
PASTA DI MANDORLE,Italy,BAR PASTICCERIA DI FALVO EUGENIO ANTONIO,0,Art.6(ⅱ),cyanide 36 mg/kg detection,kansai airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-12-25
Frozen food served without heating:FROZEN SQUID SUGATA,Thailand,"SEA FREEZE CO.,LTD",0,Art.11(2),violation of compositional standard (coliform bacteria positive ),kobe 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2019-12-25
Cacao beans,Ecuador,0,AGROINDUSTRIAS ARRIBA DEL ECUADOR AGROARRIBA S.A.,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act (２，４－D 0.05 ppm detection)",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2019-12-25
Food processing machinery(rubber):SLICER MACHINE(BELT),China,"ZHUCHENG CITY CHAORAN FOOD MACHINERY CO.,LTD",0,Art.18(2),non-conformity with standard for materials (zinc 34 μg/ml ),nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-12-25
Frozen food served after heating(other than those heated immediately before freezing）:FROZEN VANNAMEI BREADED SHRIMPS PDTO NOBASHI,Vietnam,"AN SEAFOODS CO.,LTD",0,Art.11(2),violation of compositional standard（live bacteria count  4.6×10⁶ /g）,osaka,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-12-25
Natural cheese (soft):GORGONZOLA CUCCHIAIO,Italy,CASEIFICIO DEFENDI LUIGI SRL,0,Art.11(2),violation of compositional standard (Listeria monocytogenes 120 /g),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-12-25
Almonds,U.S.A.,0,"FRESH PACIFIC FRUIT AND VEGETABLE,INC",Art.6(ⅱ),aflatoxin (mycotoxin)　 22 μg/kg　（B1: 19.4 B2: 2.3 ) detected,nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2019-12-25
SCALLION,Malaysia ,0,CAMERON LAVENDER GARDEN SDN BHD,Art.11(2),violation of compositional standard (chlorpyrifos 0.03 ppm detection),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2019-12-25
